ItemCode,ItemName,ManufacturerName,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,ItemPrice,UnitOfMeasurePrice,NormalizedName,מחלקה
7290017121895,סחוג אדום 140 גרם,לא ידוע,סחוג אדום 140 גרם,גרמים,140.0,100 גרם,9.9,0.0707,סחוג אדום,לבדיקה ידנית
4820229031311,חורטיצה פלטינום 700,לא ידוע,חורטיצה פלטינום 700,מיליליטרים,700.0,"100 מ""ל",60.6,0.0866,חורטיצה פלטינום 700,לבדיקה ידנית
7290003361144,ברמונדי טרי נקי בווא,לא ידוע,ברמונדי טרי נקי בווא,קילוגרמים,1.0,"ק""ג",89.9,89.9,ברמונדי טרי נקי בווא,לבדיקה ידנית
7290119421008,סודה לשתיה צנצנת 500,לא ידוע,סודה לשתיה צנצנת 500,גרמים,500.0,100 גרם,12.5,0.025,סודה לשתיה צנצנת 500,לבדיקה ידנית
7290113193369,בית השיטה תרסיס שמן,לא ידוע,בית השיטה תרסיס שמן,מיליליטרים,150.0,"100 מ""ל",12.9,0.086,בית השיטה תרסיס שמן,לבדיקה ידנית
7290018443866,חסה לליק,לא ידוע,חסה לליק,יח',1.0,יח',10.9,10.9,חסה לליק,לבדיקה ידנית
7290111344565,שקיות זיפר במארז משו,לא ידוע,שקיות זיפר במארז משו,יח',1.0,יח',13.0,13.0,שקיות זיפר במארז משו,לבדיקה ידנית
7290116053097,צלחת עמוקה זכוכית,לא ידוע,צלחת עמוקה זכוכית,יח',1.0,יח',6.0,6.0,צלחת עמוקה זכוכית,לבדיקה ידנית
7290116055671,כוסות שתיה חמה ענקיו,לא ידוע,כוסות שתיה חמה ענקיו,יח',1.0,יח',9.9,9.9,כוסות שתיה חמה ענקיו,לבדיקה ידנית
7290102392049,"גבינה לאפיה תבור לל""",משק צוריאל,"גבינה לאפיה תבור לל""",גרמים,500.0,100 גרם,27.9,0.0558,גבינה לאפיה תבור,לבדיקה ידנית
9044400855502,סוכריות פז 1+3 מילוי,לא ידוע,סוכריות פז 1+3 מילוי,יח',1.0,יח',12.9,12.9,סוכריות מילוי,לבדיקה ידנית
7290020174246,פטריות שמפניון רמי ל,לא ידוע,פטריות שמפניון רמי ל,יח',1.0,יח',13.9,13.9,פטריות שמפניון רמי,לבדיקה ידנית
7290001464108,פילה סלמון קפוא בארי,לא ידוע,פילה סלמון קפוא בארי,קילוגרמים,1.0,"ק""ג",79.8,79.8,פילה סלמון קפוא בארי,לבדיקה ידנית
7290018564950,רביולי ארטישוק טבעונ,לא ידוע,רביולי ארטישוק טבעונ,גרמים,350.0,100 גרם,19.8,0.0566,רביולי ארטישוק טבעונ,לבדיקה ידנית
7290000000502,אננס מובחר,לא ידוע,אננס מובחר,קילוגרמים,1.0,"ק""ג",13.9,13.9,אננס מובחר,לבדיקה ידנית
7290109921075,דזיטול מחטא בגדים 50,לא ידוע,דזיטול מחטא בגדים 50,מיליליטרים,500.0,"100 מ""ל",11.1,0.0222,דזיטול מחטא בגדים,לבדיקה ידנית
7613039770450,טבעול בורגר צמחוני 2,לא ידוע,טבעול בורגר צמחוני 2,גרמים,226.0,100 גרם,34.8,0.154,טבעול בורגר צמחוני,לבדיקה ידנית
7290018493076,אפקטיב קר קרם ידיים,לא ידוע,אפקטיב קר קרם ידיים,מיליליטרים,100.0,"100 מ""ל",15.9,0.159,אפקטיב קרם ידיים,לבדיקה ידנית
6009821120571,ענב אדום יבוא רמי לו,לא ידוע,ענב אדום יבוא רמי לו,גרמים,500.0,100 גרם,15.9,0.0318,ענב אדום יבוא רמי,לבדיקה ידנית
7290112198228,פרצל'ס מסובבים עם בצ,לא ידוע,פרצל'ס מסובבים עם בצ,גרמים,200.0,100 גרם,9.0,0.045,פרצל מסובבים,לבדיקה ידנית
8683130042557,סיף פנטסטיק קרם רענן,לא ידוע,סיף פנטסטיק קרם רענן,מיליליטרים,500.0,"100 מ""ל",11.9,0.0238,סיף פנטסטיק קרם רענן,לבדיקה ידנית
7290001591598,פטריות שלם 80אוז  40,לא ידוע,פטריות שלם 80אוז  40,גרמים,400.0,100 גרם,7.0,0.0175,פטריות שלם 80אוז,לבדיקה ידנית
7290119776290,משקה מוגז בטעם אשכול,לא ידוע,משקה מוגז בטעם אשכול,ליטרים,1.5,ליטר,7.2,4.8,משקה מוגז אשכול,לבדיקה ידנית
7290019635215,גבינה בשלה עובש לבן,לא ידוע,גבינה בשלה עובש לבן,גרמים,130.0,100 גרם,16.1,0.1238,גבינה בשלה עובש לבן,לבדיקה ידנית
7290118661504,צינור גמיש לאמבטיה 1,לא ידוע,צינור גמיש לאמבטיה 1,יח',1.0,יח',20.2,20.2,צינור גמיש לאמבטיה,לבדיקה ידנית
649870167941,חטיף נייטיב נתחי חזה,לא ידוע,חטיף נייטיב נתחי חזה,יח',1.0,יח',15.1,15.1,חטיף נייטיב נתחי חזה,לבדיקה ידנית
4000539280740,לינדט אקסלנס 78% מוצ,לא ידוע,לינדט אקסלנס 78% מוצ,גרמים,100.0,100 גרם,22.7,0.227,לינדט אקסלנס מוצ,לבדיקה ידנית
7290019078494,מארז חטיף מרציפן נטו,לא ידוע,מארז חטיף מרציפן נטו,גרמים,350.0,100 גרם,27.1,0.0774,חטיף מרציפן נטו,לבדיקה ידנית
7290016867299,לחמניות כוסמין מלא 8,לא ידוע,לחמניות כוסמין מלא 8,גרמים,428.0,100 גרם,18.9,0.0442,לחמניות כוסמין מלא,לבדיקה ידנית
80995128,מנטוס מסטיק הדרים 60,לא ידוע,מנטוס מסטיק הדרים 60,יח',1.0,יח',10.9,10.9,מנטוס מסטיק הדרים,לבדיקה ידנית
7394376620904,משקה אוטלי שיבולת שו,לא ידוע,משקה אוטלי שיבולת שו,ליטרים,1.0,ליטר,14.9,14.9,משקה אוטלי שיבולת,לבדיקה ידנית
7290108620245,תירוש לבן מובחר 100%,לא ידוע,תירוש לבן מובחר 100%,יח',1.0,יח',16.8,16.8,תירוש לבן מובחר 100,לבדיקה ידנית
7290017599274,סוכרזית סטיוויה 120,לא ידוע,סוכרזית סטיוויה 120,יח',1.0,יח',29.9,29.9,סוכרזית סטיוויה 120,לבדיקה ידנית
7290110577735,קפסולות קפה אספרסו 1,לא ידוע,קפסולות קפה אספרסו 1,גרמים,200.0,100 גרם,49.9,0.2495,קפסולות קפה אספרסו,לבדיקה ידנית
7290018711774,אבקת מרק 400 גר,לא ידוע,אבקת מרק 400 גר,גרמים,400.0,100 גרם,10.0,0.025,אבקת מרק 400,לבדיקה ידנית
7290102392094,חלב עיזים מלא 3.7% מ,משק צוריאל,חלב עיזים מלא 3.7% מ,ליטרים,1.0,ליטר,16.9,16.9,חלב עיזים מלא,לבדיקה ידנית
7290018400968,סנפרוסט טריו שורשים,לא ידוע,סנפרוסט טריו שורשים,גרמים,800.0,100 גרם,24.9,0.0311,סנפרוסט טריו שורשים,לבדיקה ידנית
7290018566152,פיסטוק * 150 גר בקופ,לא ידוע,פיסטוק * 150 גר בקופ,גרמים,150.0,100 גרם,20.2,0.1347,פיסטוק 150 בקופ,לבדיקה ידנית
7290002083184,גבינה צהובה גאודה 28,לא ידוע,גבינה צהובה גאודה 28,קילוגרמים,1.0,"ק""ג",32.0,32.0,גבינה צהובה גאודה,לבדיקה ידנית
7290119040308,עוגיות וניל צאנקס לב,לא ידוע,עוגיות וניל צאנקס לב,גרמים,180.0,100 גרם,10.0,0.0556,עוגיות וניל צאנקס,לבדיקה ידנית
7290100704967,סוגת שימורי עדשים יר,לא ידוע,סוגת שימורי עדשים יר,גרמים,240.0,100 גרם,7.7,0.0321,סוגת שימורי עדשים,לבדיקה ידנית
7290018500644,פיתה כוסמין,לא ידוע,פיתה כוסמין,יח',1.0,יח',16.1,16.1,פיתה כוסמין,לבדיקה ידנית
7290018440247,תה צ'אי שקדים ויסוצק,לא ידוע,תה צ'אי שקדים ויסוצק,יח',1.0,יח',19.1,19.1,שקדים ויסוצק,לבדיקה ידנית
7290101113157,מאגדת גלידל וניל עוג,לא ידוע,מאגדת גלידל וניל עוג,יח',1.0,יח',23.9,23.9,מאגדת גלידל וניל עוג,לבדיקה ידנית
7290119776344,משקה מוגז בטעם פירות,לא ידוע,משקה מוגז בטעם פירות,ליטרים,1.5,ליטר,7.2,4.8,משקה מוגז פירות,לבדיקה ידנית
7290118077633,סכומון מתכת מעוצב רש,לא ידוע,סכומון מתכת מעוצב רש,יח',1.0,יח',40.4,40.4,סכומון מתכת מעוצב,לבדיקה ידנית
7290102392728,יוגורט ביו ביאנקו 2.,מולר,יוגורט ביו ביאנקו 2.,מיליליטרים,200.0,"100 מ""ל",4.0,0.02,יוגורט ביו ביאנקו,לבדיקה ידנית
7290102393039,יוגורט ביו קרמי מיקס,מולר,יוגורט ביו קרמי מיקס,מיליליטרים,170.0,"100 מ""ל",5.9,0.0347,יוגורט ביו קרמי מיקס,לבדיקה ידנית
7290018893241,ממרח אגוזי לוז 750גר,לא ידוע,ממרח אגוזי לוז 750גר,גרמים,750.0,100 גרם,20.2,0.0269,ממרח אגוזי לוז 750גר,לבדיקה ידנית
7290102393169,יוגורט סימפלי פרוט ב,מולר,יוגורט סימפלי פרוט ב,מיליליטרים,150.0,"100 מ""ל",5.5,0.0367,יוגורט סימפלי פרוט,לבדיקה ידנית
7290120129863,סט 6 חותמות עידוד,לא ידוע,סט 6 חותמות עידוד,יחידה,0.0,יחידה,13.1,0.0,חותמות עידוד,לבדיקה ידנית
9000101565287,פרסיל דיסקס סנסטיב 3,לא ידוע,פרסיל דיסקס סנסטיב 3,יח',1.0,יח',53.5,53.5,פרסיל דיסקס סנסטיב,לבדיקה ידנית
7290102393176,מולר סימפלי פרוט אפר,מולר,מולר סימפלי פרוט אפר,מיליליטרים,150.0,"100 מ""ל",5.5,0.0367,מולר סימפלי פרוט אפר,לבדיקה ידנית
7290019621591,לאגו וופל מילוי קרם,לא ידוע,לאגו וופל מילוי קרם,גרמים,96.0,100 גרם,14.9,0.1552,לאגו וופל מילוי קרם,לבדיקה ידנית
5413548280189,קינדר שוקובון 125 גר,קינדר,קינדר שוקובון 125 גר,גרמים,125.0,100 גרם,14.1,0.1128,קינדר שוקובון 125,לבדיקה ידנית
5701932026964,פופקורן למיקרוגל בתו,הוט פופ,פופקורן למיקרוגל בתו,גרמים,600.0,100 גרם,15.9,0.0265,פופקורן למיקרוגל בתו,לבדיקה ידנית
5701932026971,פופקורן למיקרוגל בטע,הוט פופ,פופקורן למיקרוגל בטע,גרמים,600.0,100 גרם,15.9,0.0265,פופקורן למיקרוגל בטע,לבדיקה ידנית
5701932026995,פופקורן למיקרוגל ליי,הוט פופ,פופקורן למיקרוגל ליי,גרמים,510.0,100 גרם,15.9,0.0312,פופקורן למיקרוגל ליי,לבדיקה ידנית
7290018857885,"חמאת בוטנים 1 ק""ג",לא ידוע,"חמאת בוטנים 1 ק""ג",גרמים,1000.0,100 גרם,34.9,0.0349,חמאת בוטנים,לבדיקה ידנית
7290115480214,סוד מרכך מרוכז 900 מ,לא ידוע,סוד מרכך מרוכז 900 מ,מיליליטרים,900.0,"100 מ""ל",11.9,0.0132,סוד מרכך מרוכז 900,לבדיקה ידנית
9000101512526,פרסיל קאפס לכביסה לב,לא ידוע,פרסיל קאפס לכביסה לב,יח',1.0,יח',35.3,35.3,פרסיל קאפס לכביסה,לבדיקה ידנית
